Subnet;Name;IP Address;Type;NE Category;Version;Patch;Manufacturer;Timezone;Synchronization Complete At;Maintained By;Used On;Expiration Date;Create Time;Asset manager;Asset No;Purchased on;Remarks
/МР Москва/R77 Москва;R77-102221-SW-1;10.252.25.22;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:55:48;;;;2017-04-13 18:37:41;;;;
/МР Москва/R50 Московская область;R50-104040-RT-1;10.252.25.2;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-05-05 08:08:44;;;;
/МР Москва/R50 Московская область;R50-104040-SW-1;10.252.25.12;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:19:17;;;;2017-05-05 08:09:11;;;;
/МР Урал/R74 Челябинская область/Чебаркульский почтамт;R74-456440-RT-01;10.81.186.21;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:50:35;;;;2017-07-27 10:04:33;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455025-RT-01;10.81.188.133;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:51:06;;;;2017-07-27 10:17:43;;;;1
/МР Москва/R77 Москва;R77-102975-RT-1;10.252.25.32;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:32;;;;2017-06-08 15:39:53;;;;
/МР Москва/R77 Москва;R77-102975-RT-2;10.252.25.33;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-06-08 15:40:14;;;;
/МР Москва/R77 Москва;R77-102975-SW-1;10.252.25.34;S5720-32C-HI-24S-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:40:58;;;;2017-06-08 15:40:39;;;;
/МР Урал/R74 Челябинская область/Верхнеуфалейский почтамт;R74-456775-RT-01;10.80.205.181;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:36;;;;2017-07-27 12:05:30;;;;1
/МР Урал/R74 Челябинская область/Коркинский почтамт;R74-456551-RT-01;10.81.204.117;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:35;;;;2017-07-28 09:42:04;;;;1
/МР Волга-1/R52 Нижегородская область/Нижегородский почтамт;R52-603022-RT-01;10.25.199.229;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-04-15 02:33:03;;;;2017-07-28 11:16:15;;;;1
/МР Сибирь/R54 Новосибирская область;R54-632335-RT-01;10.64.177.53;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-01 03:19:37;;;;2018-05-08 17:00:12;;;;
/МР Москва/R77 Москва;R77-102221-RT-1;10.252.25.20;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:37;;;;2017-04-13 18:23:36;;;;
/МР Сибирь/R54 Новосибирская область;R54-632290-RT-01;10.65.178.12;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-21 08:33:51;;;;2018-05-21 08:33:45;;;;
/МР Москва/R50 Московская область;R50-102320-RT-1;10.252.25.3;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-04-18 14:08:50;;;;
/МР Москва/R77 Москва;R77-102150-RT-1;10.252.25.24;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-06-01 13:35:26;;;;
/МР Москва/R77 Москва;R77-102150-SW-1;10.252.25.26;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:01;;;;2017-06-02 12:54:06;;;;
/МР Сибирь/R55 Омская область;R55-646130-RT-01;10.66.175.61;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-03 03:16:42;;;;2018-05-21 11:28:29;;;;
/ЦОД;R00-156-33-34-SW1-CE12804;10.7.221.87;CE12804;Switch;VRP8.11 V100R006C00SPC600;V100R006SPH010;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:14:18;;;;2017-06-21 12:19:06;;;;
/МР Северный Кавказ/R26 Ставропольский край/Ставропольcкий почтамт;R26-355032-RT-01;10.126.233.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:50:05;;;;2017-07-20 08:06:07;;;;1
/МР Урал/R74 Челябинская область/Коркинский почтамт;R74-456560-RT-01;10.80.204.149;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2017-07-26 12:40:37;;;;2017-07-21 13:32:09;;;;1
/МР Урал/R74 Челябинская область/Коркинский почтамт;R74-456580-RT-01;10.81.191.85;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:13;;;;2017-07-26 13:06:54;;;;1
/МР Урал/R74 Челябинская область/Южноуральский почтамт;R74-457040-RT-01;10.80.186.101;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:20:20;;;;2017-07-26 13:16:51;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455036-RT-01;10.80.188.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:41:36;;;;2017-07-31 10:20:29;;;;1
/МР Урал/R74 Челябинская область/Усть-Катавский почтамт;R74-456110-RT-01;10.80.186.5;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:26:05;;;;2017-07-31 13:13:00;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455047-RT-01;10.80.188.245;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-25 03:04:36;;;;2017-07-31 13:13:31;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-454008-RT-01;10.80.186.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-25 03:05:07;;;;2017-07-31 13:13:58;;;;1
/МР Урал/R74 Челябинская область/Миасский почтамт;R74-456318-RT-01;10.81.190.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:20:20;;;;2017-07-31 13:14:23;;;;1
/МР Москва/R77 Москва;R77-102100-RT-2;10.252.25.29;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-04-17 14:04:11;;;;
/МР Москва/R77 Москва;R77-102100-SW-1;10.252.25.30;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:51:42;;;;2017-04-17 14:04:28;;;;
/МР Москва/R50 Московская область;R50-102320-SW-1;10.252.25.10;S5720-28X-PWR-SI-AC;Switch;VRP5.17 V200R010C00SPC600;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:55:46;;;;2017-04-18 14:07:58;;;;
/МР Москва/R50 Московская область;R50-102320-RT-2;10.252.25.9;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:30;;;;2017-04-18 14:09:28;;;;
/МР Москва/R50 Московская область;R50-104040-RT-2;10.252.25.11;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-05-05 08:08:56;;;;
/МР Москва/R77 Москва;R77-102150-RT-2;10.252.25.25;AR2240C;Router;VRP5.16 V200R007C00SPCb00;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-09 10:38:31;;;;2017-06-01 13:37:54;;;;
/ЦОД;R00-156-36-37-SW1-CE12804;10.7.221.91;CE12804;Switch;VRP8.11 V100R006C00SPC600;V100R006SPH010;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:14:17;;;;2017-06-21 12:21:21;;;;
/ЦОД;R00-156-21-RT1-NE40E-X8-INET;10.6.64.15;NE40E-X8;Router;VRP8.12 V800R008C10SPC500;V800R008SPH010;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:19:41;;;;2017-06-21 13:29:26;;;;
/ЦОД;R00-156-46-RT2-NE40E-X8-INET;10.6.64.16;NE40E-X8;Router;VRP8.12 V800R008C10SPC500;V800R008SPH010;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:57:41;;;;2017-06-21 13:32:16;;;;
/ЦОД;R00-156-26-FW1-USG9560;10.7.219.11;USG9560;FireWall;VRP5.16 V500R001C50SPC100PWE;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:57:37;;;;2017-06-21 13:37:21;;;;
/ЦОД;R00-156-28-FW1-USG9560;10.7.219.12;USG9560;FireWall;VRP5.16 V500R001C50SPC100PWE;;Huawei;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:07;;;;2017-06-21 13:39:35;;;;
/МР Северный Кавказ/R26 Ставропольский край/Ставропольcкий почтамт;R26-355037-RT-01;10.126.187.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:58:13;;;;2017-07-17 13:20:57;;;;1
/МР Урал/R74 Челябинская область/Троицкий почтамт;R74-457100-RT-01;10.81.186.101;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:20:20;;;;2017-07-26 12:35:19;;;;1
/МР Урал/R74 Челябинская область/Южноуральский почтамт;R74-457020-RT-01;10.81.207.69;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:51:06;;;;2017-07-27 10:32:00;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455039-RT-01;10.80.188.213;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:41:10;;;;2017-07-28 09:48:33;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Минераловодский почтамт;R26-357823-RT-01;10.126.208.245;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:14:35;;;;2017-07-28 10:12:06;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Невинномысский почтамт;R26-357106-RT-01;10.126.203.229;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:41:06;;;;2017-07-28 10:27:41;;;;1
/МР Урал/R74 Челябинская область/Верхнеуфалейский почтамт;R74-456800-RT-01;10.80.186.69;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:14:37;;;;2017-07-31 13:14:47;;;;1
/МР Урал/R74 Челябинская область/Миасский почтамт;R74-456304-RT-01;10.80.203.181;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:26:34;;;;2017-08-04 08:54:18;;;;1
/МР Урал/R74 Челябинская область/Миасский почтамт;R74-456313-RT-01;10.81.190.133;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:52:07;;;;2017-08-04 09:00:40;;;;1
/МР Урал/R74 Челябинская область/Миасский почтамт;R74-456317-RT-01;10.80.190.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:52:07;;;;2017-08-04 13:18:58;;;;1
/МР Волга-2/R63 Самарская область/Самарский почтамт;R63-443010-RT-01;10.36.199.181;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-03-15 03:04:35;;;;2017-08-04 13:29:36;;;;1
/МР Волга-2/R63 Самарская область/Самарский почтамт;R63-443067-RT-01;10.36.200.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:53:04;;;;2017-08-04 13:41:28;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-454084-RT-01;10.80.185.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-06 02:54:05;;;;2017-08-15 09:24:39;;;;1
/МР Сибирь/R55 Омская область/Омский почтамт;R55-644009-RT-01;10.66.187.245;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:27:05;;;;2017-08-15 09:38:31;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Светлоградский почтамт;R26-356535-RT-01;10.126.202.149;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-16 03:20:07;;;;2017-08-17 09:53:27;;;;1
/МР Северо-Запад/R78 Санкт-Петербург и Лен.область/Санкт-Петербургский почтамт;R78-192238-RT-01;10.47.175.56;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 02:22:03;;;;2017-08-18 15:55:20;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Ипатово почтамт;R26-356606-RT-01;10.126.219.133;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:29:38;;;;2017-08-21 09:13:21;;;;1
/МР Сибирь/R70 Томская область/Томский почтамт;R70-634012-RT-01;10.71.186.85;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 03:06:39;;;;2017-08-21 09:18:09;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Михайловский почтамт;R26-356201-RT-01;10.126.213.85;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:30:07;;;;2017-08-21 09:49:25;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Невинномысский почтамт;R26-357021-RT-01;10.126.223.181;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:16:14;;;;2017-08-24 15:41:06;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Ессентукский почтамт;R26-357701-RT-01;10.126.208.53;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:16:10;;;;2017-08-24 16:10:58;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-457310-RT-01;10.80.194.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:09:58;;;;2017-08-25 07:59:05;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Минераловодский почтамт;R26-356312-RT-01;10.126.215.69;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:09:58;;;;2017-08-25 07:59:50;;;;1
/МР Урал/R74 Челябинская область/Кыштымский почтамт;R74-456785-RT-01;10.80.205.229;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:10:12;;;;2017-08-28 10:30:02;;;;1
/МР Урал/R74 Челябинская область/Карталинский почтамт;R74-457200-RT-01;10.80.194.149;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:41:37;;;;2017-08-01 10:48:02;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Ипатово почтамт;R26-356631-RT-01;10.126.202.213;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 02:21:03;;;;2017-08-16 16:44:49;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Нефтекумский почтамт;R26-356885-RT-01;10.126.203.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:43:36;;;;2017-08-16 16:45:31;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Пятигорский почтамт;R26-357519-RT-01;10.126.206.181;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:28:05;;;;2017-08-16 16:47:34;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Светлоградский почтамт;R26-356537-RT-01;10.126.202.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:15:36;;;;2017-08-16 16:49:52;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Ессентукский почтамт;R26-357625-RT-01;10.126.207.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:28:04;;;;2017-08-16 16:53:26;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Красногвардейский почтамт;R26-356002-RT-01;10.126.201.69;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 02:21:18;;;;2017-08-16 16:55:40;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Михайловский почтамт;R26-356236-RT-01;10.126.214.37;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 02:21:33;;;;2017-08-16 16:57:22;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Новопавловский почтамт;R26-357912-RT-01;10.126.209.117;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:29:04;;;;2017-08-16 17:03:40;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Минераловодский почтамт;R26-357233-RT-01;10.126.225.213;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:29:41;;;;2017-08-16 17:04:30;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Новопавловский почтамт;R26-357914-RT-01;10.126.209.149;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:16:05;;;;2017-08-16 17:05:19;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Невинномысский почтамт;R26-357002-RT-01;10.126.223.5;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:16:05;;;;2017-08-16 17:06:58;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-454052-RT-01;10.80.187.37;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:09:58;;;;2017-08-28 10:29:45;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Ипатово почтамт;R26-356604-RT-01;10.126.219.101;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:10:13;;;;2017-08-28 10:31:29;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-456510-RT-01;10.81.191.5;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-09 03:17:38;;;;2017-08-28 10:37:47;;;;1
/МР Урал/R74 Челябинская область/Кыштымский почтамт;R74-456870-RT-01;10.80.186.85;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-30 03:16:41;;;;2017-08-28 13:13:00;;;;1
/МР Сибирь/R42 Кемеровская область/Кемеровский почтамт;R42-650001-RT-01;10.60.187.101;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 02:26:05;;;;2017-08-01 14:46:18;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455051-RT-01;10.81.189.5;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:42:23;;;;2017-08-01 14:55:49;;;;1
/МР Урал/R74 Челябинская область/Чебаркульский почтамт;R74-456470-RT-01;10.80.191.5;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:42:06;;;;2017-08-01 15:08:31;;;;1
/МР Урал/R74 Челябинская область/Челябинский почтамт;R74-454010-RT-01;10.81.185.149;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:42:36;;;;2017-08-01 16:08:34;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455038-RT-01;10.80.187.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:20:49;;;;2017-08-01 16:16:34;;;;1
/МР Урал/R74 Челябинская область/Копейский почтамт;R74-456617-RT-01;10.81.191.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:42:36;;;;2017-08-01 16:23:08;;;;1
/МР Урал/R74 Челябинская область/Магнитогорский почтамт;R74-455030-RT-01;10.80.188.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:20:56;;;;2017-08-02 16:45:37;;;;1
/МР Волга-2/R02 Республика Башкортостан/Уфимский почтамт;R02-450065-RT-01;10.33.188.69;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-05-05 03:10:29;;;;2017-08-16 14:20:23;;;;0
/МР Урал/R74 Челябинская область/Миасский почтамт;R74-456306-RT-01;10.80.203.197;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:43:36;;;;2017-08-16 14:26:45;;;;1
/МР Сибирь/R42 Кемеровская область/Кемеровский почтамт;R42-650024-RT-01;10.60.187.213;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-08 03:15:08;;;;2017-08-16 14:58:24;;;;1
/МР Северный Кавказ/R26 Ставропольский край/Красногвардейский почтамт;R26-356031-RT-01;10.126.210.165;BM-S421-1-V;Router;VRP5.160 v2.8.20sp;;Bulat;UTC+00:00 Monrovia, Reykjavik;2018-06-07 02:43:36;;;;2017-08-16 16:45:08;;;;1
